Name,Symbol,Sector,Industry
Alibaba,BABA,Consumer Cyclical,Internet Retail
PetroChina,PTR,Energy,Oil & Gas Integrated
Baidu,BIDU,Communication Services,Internet Content & Information
Li Auto,LI,Consumer Cyclical,Auto Manufacturers
Momo,MOMO,Communication Services,Internet Content & Information
