Name,Symbol,Sector,Industry
Toyota,TM,Consumer Cyclical,Auto Manufacturers
Sony,SONY,Technology,Consumer Electronics
Takeda Pharmaceutical,TAK,Healthcare,Drug Manufacturers Specialty & Generic
