Name,Symbol,Sector,Industry
Astrazeneca,AZN,Healthcare,Drug Manufacturers General
British American Tobacco,BTI,Consumer Defensive,Tobacco
Arrival,ARVL,Consumer Cyclical,Auto Manufacturers
